,titles,reviews,date_of_review,date_of_travel,locations,destinations,class,number_of_reviews,ratings
133,Long Flight,"We recently flew from Newark to Frankfurt on a red eye with Lufthansa.   We flew economy on a Boeing 747-800. Big airplane, three rows of seats, three across, then four across and then three across. The seats were tight but just bearable.   The service by the flight crew was‚", Sep 2019,19-Aug,"Milton, Pennsylvania",Newark - Frankfurt,Economy,114,4
134,Business class seats a drawback,"Lufthansa's service was good, but the business class seats on the A 340 are narrow and hard to sleep on.  They are quite good for couples as both can see out the window compared to more modern seating arrangements, but provide no privacy if you don't know the person next to you.", Sep 2019,19-Sep,"Canberra, Australia",Montreal - Frankfurt,Business Class,85,4
135,Good service ,"Flew Lufthansa from Manchester to Denpasar Bali via Frankfurt and Singapore on Premium economy basis, flight from Manchester to Frankfurt and Singapore to Denpasar was in economy class. All 3 flights were very good would personally recommend the premium economy as it was‚", Sep 2019,19-Sep,United Kingdom,Manchester - Denpasar,Premium Economy,106,4
136,good intercontinental flight,when I checked in only I could book some comfortable seats and the flight was nice. I also booked a Vegan option for meals and they were really tasty (considering that we are eating on a plane!) The only thing that could be improved are the blankets given for the flight: the‚, Sep 2019,19-Aug,"Turin, Italy",Frankfurt - Buenos Aires,Economy,39,4
137,A380 is most comfortable Aircraft,Recently flew with Lufthansa from India to US and It was A380 in Delhi-Frankfurt and returns segments. It is indeed a very comfortable aircraft to fly long distance., Sep 2019,19-Aug,"Gurugram (Gurgaon), India",New Delhi - Frankfurt,Economy,134,5
138,Dissapointment,"That was the first time that I felt that Lufthansa's long haul flights are on the downfall. At first, there was no power outlet in the seats. Brand new A380 carrying some 350+ people in economy for 11 h with no power!!!! Unacceptable!!! And the USB port is placed under the arm‚", Sep 2019,19-Sep,,Frankfurt - San Francisco,Economy,10,3
139,Costa Rica.,"This was the first time I flew with this carrier. I flew to Frankfort from Lisbon good flight then to Costa Rica. My plane was a Boeing ,767-300 great flight. It was very comfortable and roomy. The attendants we're friendly and were always feeding us. It was a 12 hour flight‚", Sep 2019,19-Aug,,Lisbon - San Jose,Economy,52,5
140,Denied to board for no good reason and customer service system is down,"Terrible service and behavior, I was denied to board the flight, AFTER I checked in, for no obvious reason, as confirmed by the agent that my documents have no problems but they have ""Profile Issues"" just because i travel light for 8 days vacations with just a backpack, that‚", Sep 2019,19-Aug,,Cairo - Sofia,Economy,4,1
141,Can‚Äôt check-in online,"Lufthansa doesn‚Äôt have contracts with other major airlines and therefore I was unable to check-in online. I wouldn‚Äôt recommend flying with Lufthansa to more exotic destinations. Next time, I‚Äôll opt to pay couple of hundred more to fly with another company.", Sep 2019,19-Sep,"Winnipeg, Canada",Victoria Falls - Winnipeg,Economy,1,3
142,Not recommended for Business Class Travellers,"On A320/321 aircraft  there's no Business Class, only a curtain separates Business (with an empty middle seat, though) from Economy. And if you get an emergency row seat, 11 A in my case, passengers queued up to pray in the empty space of the emergency exit, kneeling down, then‚", Sep 2019,19-Sep,"Cairo, Egypt",Frankfurt - Cairo,Business Class,52,4
143,Choose A 330 for Business Class flights,"During summe LH  instead of A320 randomly uses A330 which offers good Business Class seats while on A320/321 only a curtain separates Business  seat from Economy though with an empty middle. Punctual flight, good service and the A330 Business is worth while", Sep 2019,19-Sep,"Cairo, Egypt",Cairo - Frankfurt,Business Class,52,4
144,"Friendly, efficient service","First chance to try the Lufthansa A350 service and it exceeded expectations. Service was friendly and efficient, seating comfortable and good choice of entertainment. Negative is that the Business cabin is still configured 2-2-2 when most other airlines operate a 1-2-1 seating‚", Sep 2019,19-Aug,"Florence, Kentucky",Washington DC - Munich,Business Class,58,4
145,Reliable Star Alliance partner,"We flew Lufthansa from Stockholm to Frankfurt as part of a longer Star Alliance journey. Everything worked out fine, we were fully satisfied. The staff was attentive. The only adverse event was that only one of us was checked in on-line, the other check in failed for reasons‚", Sep 2019,NA,"Stockholm, Sweden",Stockholm - Frankfurt,Economy,398,4
146,Smooth International Travel,"Lufthansa is a great way to get from the west coast of North America to Europe and back.  They are clean, efficient, reliable.  I am not thrilled with the user interface of their entertainment unit and that is the only downside.  Otherwise, they make a 10+ hour flight palatable,‚", Sep 2019,19-Aug,,San Francisco - Prague,Economy,6,5
147,Any excuse to pay compensation .Disgusting ?,61 hour delay said due to bad weather in aug from Birmingham airport ... cancelled flight said no compensation due to storm ... HELLO it‚Äôs August no storm last 61 hours ... any trick not to pay bad service bad company ..... even the staff did a runner in the airport had to use‚, Sep 2019,19-Aug,,Birmingham - Nicosia,Economy,1,1
148,"First time, first impression.",My first time with this airline is impressive. There are helpful and happy staffs to help me with any inquiry. In-flight service is good and crews had paid attention to the passengers., Sep 2019,19-Jun,,Munich - Paris,Economy,7,4
149,Lufthansa The worst experience ever,Traveling from Cairo to the United States via Frankfurt üëéon the 7th of August flight9025 For an unknown reason we had to stop at Cologne instead of Frankfurt for half an hour extended to 2 hours stuck in the plane with no information and the least care. Arriving to Frankfurt‚, Sep 2019,19-Aug,cairo,Cairo - Frankfurt,Economy,19,1
150,Excellent airlines with good professional staff,"The second I stepped into the aircraft, it was like another world as the cleanliness was top notch and directions to the seats were promptly given. Food and Beverages provided was good. In Flight entertainment has some good collection, do try the collection of movies.", Sep 2019,19-Aug,"Mohali, India",Birmingham - New Delhi,Economy,16,5
151,disgracful customer service,I missed my connection in Hong Kong from Melbourne no help at all cost me $2700 to rebook. They classed my as a no show yet they off loaded my luggage and cancelled all on going flights and return flights. YET when I returned home the flight was light missed my connection‚, Sep 2019,19-Aug,"Melbourne, Australia",Melbourne - Edinburgh,Business Class,4,1
152,Great service!,"This is a great airline! The staff is friendly, efficient and provide excellent customer service.  If every airline was like Lufthansa we would all love flying again. They are so well equipped with real cutlery, the little extras and snacks. They really make you feel very well‚", Sep 2019,19-Jan,,London - Frankfurt,Economy,6,5
153,Lufthansa family trip,"comfortable interior, nice personal. Served with return cookware, metal pribor. It is very ecological, good feeling.", Sep 2019,19-Aug,"Myjava, Slovakia",New York City - Frankfurt,Economy,2,5
154,great flight!,"Our flight was on time and had the option of doing an online check in 24 hours before the flight. Once at the airport, we received both text and email notifications about the gate we were departing from, something I haven;t had before on other airlines. The cabin staff were‚", Sep 2019,19-Aug,"Harrogate, United Kingdom",London - Munich,Economy,20,5
155,Comfortable efficient flight,"This was an approximately one hour flight. The plane was on time, the staff were very friendly and efficient and the seats were comfortable with sufficient legroom. We were given hazelnut waifer  biscuits as a snack and offered drinks.  Boarding and leaving the aeroplane went‚", Sep 2019,19-Sep,"Bli Bli, Australia",London - Frankfurt,Economy,383,4
156,Too Much Of A Rush,"Had to change planes at Frankfurt on our way back from Kiev. The time between landing and take off was very tight and it was quite a hike to the departure terminal. When we got there, with minutes to spare, it was absolute chaos. For some reason there were TWO desks, one almost‚", Sep 2019,19-Aug,"North Yorkshire, United Kingdom",Kiev - Manchester,Economy,345,2
157,DO NOT BOOK WITH THEM,"I dont know where to start but if you have anything go wrong with your flight, or have to cancel for any reason, you are completely screwed.   Unbelievably bad service!! incompetent workers, never will you get a call back. They have the worst fine print I have ever seeing.  They‚", Sep 2019,19-Jul,,Vancouver - Billund,Economy,3,1
158,Beware false promises of compensation for delays,"Lufthansa had computer problems; thousands of people were stranded in Frankfurt airport on Aug 2, 2019.   An announcement came over the intercom telling all Lufthansa passengers to go to a hotel even without a reimbursement voucher.  They now refuse to honor this promise.", Sep 2019,19-Aug,SF bay area,Florence - San Francisco,Business Class,96,1
159,OMG,"Economy seats in Lufthansa are really uncomfortable and smaller than other airlines I have flown.  For a 10.5 hour flight they did not even put my daughter and I beside each other,  we had to request changes three times to get beside each other.  Who splits up a family traveling‚", Sep 2019,19-Aug,"Toronto, Canada",Johannesburg - Frankfurt,Economy,14,2
160,Feel Like Cattle,I do not typically write negative reviews... but Lufthansa should be held to a higher standard given their stature and place in the world of flying. I always thought Airlines in the USA were the roughest to deal with... that is until I experienced the horribly flawed system that‚, Sep 2019,19-Sep,"Palm Beach Gardens, United States",Fort Lauderdale - D√ºsseldorf,Premium Economy,7,1
161,Comfortable and Pleasant,My 2-part flight to Vilnius via Frankfurt was comfortable. I actually felt the seats may have been slightly wider than flights on domestic routes. The flight personnel were attentive and cordial. All types of drinks--wine was plentiful-- were served continuously during the‚, Sep 2019,19-Aug,"Philadelphia, Pennsylvania",Philadelphia - Frankfurt,Economy,55,4
162,Don‚Äôt book their Premium Economy!,"The good thing: The flight was operated on time and safely, no worries about that.  Though, LH Premium Economy is a product that I cannot recommend at all. The food is the same as in Economy service, flight attendants on this service didn‚Äôt offer a better service than in Main‚", Sep 2019,19-Aug,"Arequipa, Peru",Frankfurt - Toronto,Premium Economy,11,2
163,How airlines should be!,"Airlines are often really dreadful.  Service is terrible compared to a few years ago ....so find how great lufthansa are is great.  Plane new, service superbe. Already looking for where else they fly.  Premium economy well worth it!  ", Sep 2019,NA,"Peterborough, United Kingdom",London - New Delhi,Premium Economy,38,5
164,Forget business class on short flights,"New York to Munich was  comfortable.  Service was very good, food was ok, flight was fine.  The 3 1/2 hour flight to Tel Aviv was not worth paying for business class.  The middle seat had a tray, the seats were regular economy seats and the usual amenities were omitted.  I would‚", Sep 2019,19-Aug,,New York City - Tel Aviv,Business Class,2,3
165,Frankfort Transfer,We traveled from Bush to Prague with a stop-over and plane change in Frankfort.  We had a 1 hr 25 min layover in Frankfort.  The transfer in Frankfort was not the smoothest.  We went through three security checks of which one involved added screening.  The signage was not good‚, Sep 2019,19-Aug,"Houston, Texas",Houston - Prague,Economy,55,3
166,Using only domestic flights,"The Domestic flights with Lufthansa is like taking the city busses, seldom on time and sometimes cancelled in order to merge two flights into one. Service no comment.", Sep 2019,19-Aug,"Doha, Qatar",Frankfurt - Hamburg,Economy,58,3
167,Incredible Experience!,"We had the most incredible experience with Lufthansa Airlines!  We had a flight from Budapest to Munich where we catching a flight back to Chicago.  We knew the timeline was tight so when the flight leaving Budapest was delayed, we doubted that we would make our connecting‚", Sep 2019,19-Sep,Midwest,Budapest - Chicago,Economy,19,5
168,Great!,Great! Price was right and the plane was new. The staff was fantastic and the in-flight entertainment was good. The food was about what you would expect for economy class. No issues recommending them., Sep 2019,19-Aug,"Asheville, North Carolina",Washington DC - Frankfurt,Economy,"1,502",5
169,Excellent,"Great Airline. Very professional staff. Clean and comfortable, friendly service. I definately recommend travelling with Lufthansa.", Sep 2019,19-Feb,"Larnaca, Cyprus",Larnaca - Munich,Economy,20,5
170,Short trip,"This was a short trip compared with the flight times between Adelaide and Singapore then Frankfurt. Meal service was limited due to lack of staff. Given a muesli bar and a choice of cold drinks, water, juice or sort drink. Would have much preferred a cup of tea or coffee.", Sep 2019,19-Jul,"Adelaide, Australia",Frankfurt - Budapest,Economy,606,3
171,intercontinentaal,What is there to say. I just love lufthansa. Professional friendly staff. Great on board service and entertainment. Food is good, Sep 2019,18-Nov,"Roermond, The Netherlands",Frankfurt - Los Angeles,Business Class,43,5
172,Excellent airline,A professional and helpful airline for short and long haul flights. The staff were proactive and friendly. There was a great selection of food and drinks on offer. There was a good variety of on screen entertainment. I would definitely recommend flying with Lufthansa! , Sep 2019,NA,,Frankfurt - Singapore,Economy,7,5
173,Great airline ,This was my first 9 hour flight and I was unsure of what to expect. It was comfortable and the food was decent. The flight attendants made sure everyone was okay and relaxed. I had a hard time sleeping because I just felt cramped and had no where to really get comfortable. I‚, Sep 2019,19-Jun,"Morganton, North Carolina",Charlotte - Munich,Economy,87,4
174,Lufthansa is greatest airline.,Lufthansa the best ranked airline in the world and Europe service improvement in the world and I very impressed with the effort by the flight attendants are very nice more legroom the plane was Airbus A380 double decker flight from New Delhi was running late unfortunately missed‚, Sep 2019,19-Mar,,New Delhi - Toronto,Premium Economy,3,5
175,Flying with a Todler,"Flying Athens - Frankfurt - Vancouver, CANADA  From the minute we boarded the flight in Athens with our toddler, to our arrival in Vancouver, the staff of both flights were warm, hospitable, understanding, kind, gentle and friendly.  Made the 14 hour flight day easier.", Sep 2019,19-Aug,"Vancouver, Canada",Athens - Vancouver,Economy,17,5
176,sevice and food fine,"check in a bit chaotic for premium passengers, as only one of two lanes was open. otherwise everything was fine, food needs special mention, as it deviated positively from other major airlines. the seat was well aged, that needed improvement.", Sep 2019,19-Aug,Germany,Frankfurt - Toronto,Business Class,41,4
177,"Extremely poor, they couldn't care less about the frustration and anxiety they put you through","Think very carefully about your decision to fly with them, lost our luggage got of loaded from a flight after sitting on the tarmac for 4 hours", Sep 2019,19-Jul,"Auckland, New Zealand",Vancouver - Munich,Premium Economy,141,2
178,Mixed feelings,We were Premium Economy on the flight over and economy back. We were very happy with flight over but economy flight back was cramped person behind me was unhappy that I had the seat reclined to sleep and keep shaking it. Would not fly economy again., Sep 2019,19-Aug,"Port Saint Lucie, Florida",Tampa - Frankfurt,Premium Economy,61,5
179,Stockholm to SFO,"Our return home trip was on Lufthansa.  The leg room was almost NONE, we seemed to be stuffed into the plane.  The people do not seem very happy. The plane was cold the air was set too low. We were glad to get off that flight. Will try not to fly on Lufthansa again.  Preferred‚", Sep 2019,19-Aug,"Indio, California",Stockholm - San Francisco,Economy,64,3
180,Seville to Frankfurt to Cologne - Fly Flight,"We were flying from Seville Spain to Cologne by LH3622 flight on 17 Aug 19.  Now that I'm flying once too often and continue to patronize one airline - Lufthansa - I felt, I've understood the operational model of Lufthansa and its alliance airlines.But there's always an element‚", Sep 2019,19-Aug,"Bengaluru, India",Seville - Bonn,Economy,166,4
181,Good flight but oh dear the food is terrible,"Excellent check in , business lounge very clean tidy and bright.   food, not tasty and plenty of choices  and easy to use. Boarding good, aircraft clean and tidy. Very nicely welcomed by senior purser ( sorry do not remember her name) . Legroom average for Euro business. Food‚", Sep 2019,19-Aug,"Bristol, United Kingdom",London - Munich,Business Class,46,4
182,Short flight ,"Is a short flight I‚Äôm in the emergency row and I‚Äô have more leg room, they check my English before takeoff", Sep 2019,19-Aug,Verona,Frankfurt - D√ºsseldorf,Economy,131,5
183,Never again will I fly United or Lufthansa,"We booked Our planned August flight to Italy in December. Lufthansa cancelled the flight with 12 hours notice and, without any consultation, rebooked us for a day later with two stops instead of one. No reason given. Spent an hour on the phone trying to find an alternative. I‚", Sep 2019,19-Sep,"Braden River, Florida",Tampa - Naples,Business Class,10,1
184,The worst!,"Notified the carrier that I would need assistance, due to disability, I can go up stairs but could not carry bags at the same time. At first I could not reach them by phone...kept getting recordings in German only and I don't speak German. Finally got through by phone and was‚", Sep 2019,19-Sep,"Providence, Rhode Island",Canton of Geneva - Venice,Economy,7,1
185,"First time, last if possible..",It started off with the Lufthansa attendant at the gate treating passengers extremely rudely. Almost yelling at an old lady who did nothing wrong just wanting to upgrade her seat. We had our assigned seats but there were families who said they bought their tickets 6 months ago‚, Sep 2019,19-Jul,,Munich - Washington DC,Premium Economy,19,2
186,Again a very good experience,Hassle free online check in. Smooth boarding. Very nice service underway. All in all again a very nice experience., Sep 2019,19-Sep,"Aarhus, Denmark",Barcelona - Munich,Business Class,639,4
187,Fantastic Flight!,"This was the first leg of our journey to Krakow.  What a great flight.  Bang on time, friendly, helpful crew and bonus - snack and drink included in the price, not as an extra charged at extortionate prices like some other airlines.  The second leg, Munich to Krakow was just as‚", Sep 2019,19-Aug,"Crewe, United Kingdom",Manchester - Munich,Economy,13,5
188,Love Lufthansa,"Lufthansa is our favorite international airline for when we are travelling to Europe.The service we receive from the flight crew is always outstanding. The inflight entertainement is outstanding, also.", Sep 2019,19-Aug,,Dallas - Frankfurt,Premium Economy,21,5
189,"A horrible experience all round. Discrimination, delays, rude staff, system issues","Our first flight was completely full. There was no space for luggage as everyone‚Äôs was clearly oversized and overweight. It was delayed due to this. Our second plane was delayed four times, totalling an hour. The lady at the gate‚ÄôEcker‚Äô was beyond rude, to everyone. The airline‚", Sep 2019,19-Sep,,Munich - London,Economy,1,1
190,Carrying a lot of Baggage,"Check-in was eventful.  Although we flew with the same airlines on the same type of plane travelling to Budapest, the customer services representative demanded that I check in my carry on bag.  Caught totally off-guard, and having everything halfway important in the bag, I had‚", Sep 2019,19-Aug,"Humboldt County, California",Budapest - San Francisco,Economy,6,2
191,Excelent,I love travelling Lufthansa. The quality and the service provided are perfect. Every time I was choosing that airline I was happy that I did., Sep 2019,19-Aug,"London, United Kingdom",Krakow - Malaga,Economy,463,5
192,Quik business trip to Fankfurth,"Flight itself was ok.  Flight was in exact time.  Like normally, during these type of flights food serving is a lack off. Advance booking would be great thing.. Some times you do not have enouhg time to eat in the airport, that¬¥s why this option would be a great thing.", Sep 2019,19-Aug,,Helsinki - Frankfurt,Economy,101,5
193,"Terribly Ignorant and Arrogant Staff, totally Unhelpful.","I have complained to Lufthansa via email, online form and via twitter. I have had one answer in 2 months!!!! This airline employs a particular, psychological type of person. Extreme arrogance and a ""not our problem"" approach to problems which they have caused. They have robbed‚", Sep 2019,19-Jul,,Madrid - Bangkok,Economy,3,1
194,Just about everything was wrong,"Until about 10 minutes before boarding, no announcement about flight delay. Even after the announcement, passengers are made to wait for almost 30-40 minutes in line before finally boarding. Post boarding, due to airspace issues, another hour and beyond on the tarmac . Finally 2‚", Sep 2019,19-Sep,"Mumbai, India",Frankfurt - Mumbai,Economy,140,3
195,Lufthansa horrible,"The laugage got lost for eight passengers in Frankfurt, seven passengers got it the following day. One passenger got it 6 days later after 20 emails and 25 phone calls.  Lufthansa has no phone number to contact, the one in La did not help.   People In FRANKFURT in the Lufhtansa‚", Sep 2019,19-Aug,"Los Angeles, California",Los Angeles - Budapest,Business Class,4,1
196,The seats are terrible,"The same story: you travel almost 11 hours sitting in a very small area!!! And they offer  through the airplane audio system better seats for 400 ‚Ç¨, one way.... just for more leg room. One bathroom had a problem when flushing the toilet...", Sep 2019,19-Aug,"Rio de Janeiro, RJ",Frankfurt - Rio de Janeiro,Economy,135,3
197,Top-notch service and super comfortable flight,"My first experience of Airbus 350 on LH494: what a treat! Very spacious and well appointed J cabin, superb and attentive service, on time performance and engaging captain and service crew. Check 3 cameras delivering front, underneath and above the aircraft view! Super fun to‚", Sep 2019,19-Aug,"Toronto, Canada",Munich - Toronto,Business Class,46,5
198,On of the only remaining friendly airlines,This airline reminds of the time when flight attendants where polite and caring and not just trying to get through the day like most others.  The flight was full and our seats were comfortable.  The service was excellent and you could tell that they took pride in their work. ‚, Sep 2019,19-Jun,"Windermere, Florida",Orlando - Paris,Premium Economy,220,5
199,Nice upgrade using miles,"This was my 4th trip to/from Japan this year so I had quite a few miles to play with. If you are going to upgrade then it might as well be on as long a flight as possible. The experience started off very well, 1st class check in was very smooth with an escort to a priority‚", Sep 2019,19-Aug,"Sheffield, United Kingdom",Tokyo - Frankfurt,First Class,20,4
200,Trip to Miami,The airline is always on time the plain are clean and the staff is always friendly but the wi fi doesn‚Äôt work so for 9 hours i‚ÄôVe watch the movie on the screen in front of my site and the food can change sometimes always chicken or pasta on both flight probably i‚Äôm Italian and ‚, Sep 2019,19-Aug,"Province of Naples, Italy",Miami - Naples,Economy,79,4
201,Poor quality airline,"Lufthansa LH466. I used it on September 31, 2019 (San Diego-Frankfurt-San Diego). It was scheduled for 10:00 am. It took off at 12:00. We waited in the aircraft for 2 hours for repairs and refuel. The flight was not full. The service was not good at all. I had the same bad‚", Sep 2019,19-Sep,,Frankfurt - San Diego,Premium Economy,2,1
202,Good flight on an European sector,"It was good flight, mostly these are low cost operations with nil entertainment. Service was good & comfortable. We had purchased a Smart fare in order to get the allowance of luggage & seat.", Sep 2019,19-Aug,"Dubai, United Arab Emirates",Seville - Munich,Economy,"1,302",4
203,Heading Back To Home,"Everything was smooth and it was so nice flight, Clean, Orgnized, Helpful crew and stuff, and timing was perfect!!", Sep 2019,19-Aug,Egypt,Berlin - Cairo,Economy,4,4
204,The best flight ,"I fly pretty often - economy, premium economy, sometimes business class. This economy flight was better than some business class experience I had before! The staff were amazing- helpful and genuinely caring. During the flight my mom‚Äôs blood pressure went up and the attention and‚", Aug 2019,19-Jun,"New York City, New York",New York City - Frankfurt,Economy,69,5
205,Amazing ,"That was connecting flight so so in overall check in was good, Cabin crew friendly and professional, easy communication. Complementary snacks was given, was enough because flight takes only 1.25 h so it is ok. Had very good experience with Lufthansa, I would recommend and I will‚", Aug 2019,NA,,Frankfurt - Warsaw,Economy,19,5
206,Excellent ,"Check in very good, flight was successful,  Cabin crew very nice and politely, heplful, easy communication. Completely hot food  included in the price, that was amazing including lots of drinks. That was connecting flight last minute but price compare to another air lines was‚", Aug 2019,NA,,Algiers - Frankfurt,Economy,19,5
207,Horrible airline,I travelled with Lufthansa for the first time from London Heathrow transiting to Frankfurt then to Crete. We were a group of 10 people with adults and children . The security queues were so long that we missed our flight. We stood in this queue for more than 1 hour . The staffs‚, Aug 2019,19-Aug,,London - Frankfurt,Economy,1,1
208,Frankfurt strikes again!!,Do not travel with this company through Frankfurt.. they have lost my bags AGAIN and trying to get hold of their baggage report team is impossible. They know about it and sent me links through GBS but it left Heathrow to get to me and that‚Äôs the last I heard about it!!! No‚, Aug 2019,19-Aug,"Standish, United Kingdom",Sofia - London,Economy,11,1
209,Efficient and Professional,"With a full flight, boarding was carried out efficiently, the aircraft was clean and the seats reasonably comfortable. Drinks were served with a cake as a snack. On both the outbound and inbound flights departure was slightly delayed but our arrival was on time. A value for‚", Aug 2019,19-Aug,"Wetherby, United Kingdom",Manchester - Munich,Economy,445,4
210,Little disappointed,The seats were fine much better then airfrance for example. What let it down was the terrible food  The breakfast omelette was just dry over heated The roll stale. Far better to just have cheese salami or veg option and fruit Maybe a decent pastry. The main meal was even worse.‚, Jul 2019,19-Jul,"London, United Kingdom",Bogota - Frankfurt,Premium Economy,250,3
211,Large Airbus,This was a massive plane. The crew was friendly enough but no personality. They seemed to be overwhelmed or tired. , Jul 2019,19-May,"Tracy, California",San Francisco - Lisbon,Economy,333,3
212,Amazing service! Lots of bathrooms,"Amazing service! Lots of drinks served ‚Äî at least 5 different opportunities to receive drinks, including alcohol like Bailey‚Äôs and white/red wines. The meal options were either chicken or pasta; the chicken featured rice and carrots, while the pasta had a mushroom based sauce.‚", Jul 2019,19-Jul,"Boston, Massachusetts",Charlotte - Munich,Economy,10,5
213,Impressive airplane!,We flew Lufthansa for the first time from Vancouver to Munich. What impressed me most was the lay-out of the plane. It was an Airbus A340-600. We were in premium economy. Why was I impressed? The toilets were all located ‚Äúdownstairs‚Äù- on a lower level. You take a short flight of‚, Jul 2019,19-Jul,"Vancouver, Canada",Vancouver - Munich,Premium Economy,64,5
214,Still almost full service on a short European flight ,"Booking was easy on the website, check in was easy online, the flight left and landed on time, and I was pleasantly surprised that everyone was offered complimentary drinks (a wide range including coffee, tea, juice and wine) which was so refreshing when most other European‚", Jul 2019,19-Jul,"Suzhou, China",Toulouse - Munich,Economy,565,4
215,Flight Interruption,"I had flown with my family from Canada to Istanbul and had a multi-city return path, connecting in Germany and the U.K. All four of us, travelling on different ticket-bookings, missed our flights due to an incident at Frankfurt airport‚Äînot because of overbooking for Wimbledon or‚", Jul 2019,19-Jul,,Istanbul - Manchester,Economy,703,4
216,Big Troath lost & found,"I'm a Star Alliance frequent traveller. On June 10, 2019 I left a trolley on board and wasn't allowed to get back to recover it as the plane was still at the arrival finger.  Wisag lost & found service at TXL did not accept the task to search for it claimimg that if it would‚", Jul 2019,19-Jun,"Milan, Italy",Frankfurt - Berlin,Economy,27,1
217,great flight from Dublin to Munich,"We had a very pleasant flight.  The crew was very friendly and helpful. The flight left on time and boarding went quickly and smoothly.  The crew came around a couple of times offering drinks, unfortunately due to the strike with their onboard meal supplier they could only offer‚", Jul 2019,19-Jul,,Dublin - Munich,Economy,33,4
218,perfect as always even in emergencies,"arrived in Munich, the airport was closed due to snow, the company promptly sent me a text message and an e-mail with the new boarding card, avoiding mileage files at the desk, for the next day and informed that I could stay at the expense of the company for a maximum amount of‚", Jul 2019,19-Feb,"Sant'Elpidio a Mare, Italy",Ancona - Munich,Economy,60,5
219,"""A good flight indeed""","So far I have flown with them four times on international flights with nothing less than superior experiences. From the level of comfort in Premium economy to the tasty food, refreshing drinks and great welcoming customer service. Not to mention the cleanliness of the planes. So‚", Jul 2019,19-Jun,"Atlanta, Georgia",Atlanta - Frankfurt,Premium Economy,22,5
220,Lost connection flight,"Usually, if I can choose company I gladly pick Lufthansa. I have to say they have good baggage allowance for some countries (2 bags), intercontinental flights are in newer, large planes, more leg space, large screens, stuff courteous, food was nothing special, average, Selection‚", Jul 2019,18-Aug,Toronto,Toronto - Sarajevo,Economy,17,3
221,‚ÄúLufthansa Lifts You Up Very Nicely!‚Äù,Leaving Italy from Bari was quite a great adventure! The airport itself is very nice and the staff was friendly & helpful. They were definitely delightful and so surprised to have our Melon Heads Geriatric Travelers in their care. Dr. Abey & the other 4 of us All required‚, Jul 2019,19-Jul,"Racine, Wisconsin",Bari - Munich,Economy,509,5
222,Good service airline,"So glad we found this flight from Copenhagen to Bodrum via Munich. Free drinks and refreshments served along with good service and a smile. Our flights were on time even though we had one brief delay departing due to back up of other flights. If you prefer a special meal,‚", Jul 2019,19-Jul,,Copenhagen - Bodrum,Economy,19,4
223,Re booking flight,"Amazing customer services. My daughter's trip got caught short due to medical reasons, customer services accommodated our request and re booked the flight for us waiving the re booking fee. I am so pleased with their service.", Jul 2019,19-Jul,,Frankfurt - Seattle,Economy,1,5
224,Terrible decrease of business class food quality,Several months ago we flied with LH and got perfect food in business class. Now it was different picture. We had two flights- FCO=FRA and FRA-VNO. On both flights we got strange meals-beggars type sandwiches  instead of delicious food we used to get on LH flights earlier. We‚, Jul 2019,19-Jul,"Ramuciai, Lithuania",Rome - Vilnius,Business Class,238,2
225,unhygienic (in business class!),"old plane. this is not bad in business class since formerly, business class was much more spacious. so, plenty of room. however, bring your sanitizer take your wipes: crumbs and hair in the compartments around the seat; spilled dark drink in front of my seat; screen very filthy‚", Jul 2019,19-Jun,,Frankfurt - Denver,Business Class,7,3
226,Almost missed my connecting flights twice,"I had a connencting flight in Munich and the 1st flight from london has been delayed for more than one hour and half This makes the connecting time for my flight to cairo is about 5 min only Added to that, they missed my luggage at munich airport duo to the very short time of‚", Jul 2019,NA,"Cairo, Egypt",London - Cairo,Economy,1,1
227,Mr,"Flight was long duration with a stop over at Frankfurt.  Excellent service, very comfortable seats with adequate leg room. Good food Smiling air hostesses.  Took United from EWR to BOM. Exactly opposite experience", Jul 2019,19-Jun,New Jersey,Mumbai - San Francisco,Economy,12,5
228,Fly European,Would fly Lufthansa again - even in economy comfortable seats  - service was superb plus there were refreshment available in galley throughout the whole flight - good video selections- much more pleasant than any domestic airline to Europe - i would fly any European airline to‚, Jul 2019,19-Jun,"Scarsdale, New York",New York City - Bucharest,Economy,19,4
229,Roundtrip SA UK Rome SA,We opted for the last seats on the airplane as we did not want to bug anyone during the flight by getting up through the night to stretch and walk about. The comfort of the seat was not as previously experienced and did not tilt back enough. We were on a Jumbo 747 otherwise‚, Jul 2019,19-May,,Johannesburg - Manchester,Economy,7,5
230,Back to Japan,As usual very convenient flight. Priority respected at check-in and  very agreable service on board. Choise between European and Japanese meal witch is a good preparation to bring you in the asiatic sphere. The entertainment equipment was quite outdated., Jul 2019,18-Nov,"Genappe, Belgium",Frankfurt - Tokyo,Business Class,19,4
231,"Very poor service, excuse due to short staff problems.","We had a flight from Budapest to Malta via Frankfurt. the service was terrible especially the Frankfurt to Malta flight as no meal was made available as per ticket due to shortness of staff. This is no excuse as staff was available an board. In my opinion, Lufthansa is becoming‚", Jul 2019,19-Jul,"Island of Malta, Malta",Budapest - Frankfurt,Economy,32,1
232,German precision worked for us!,"Everything went well, but the best part was flying out of Cape Town in a Southern direction and right round the Peninsula, at sunset! The views were fantastic. The meals were much better on this flight than on the return flight, wich was really poor.", Jul 2019,19-May,"Welgemoed, South Africa",Cape Town Central - Frankfurt,Economy,58,5
