,titles,reviews,date_of_review,date_of_travel,locations,destinations,class,number_of_reviews,ratings
136,Worst flying experience...EVER!!,I don't think AA and some of their attendants realize passengers are paying customers; not chattels to be yelled at and intimidated! Examples...all water bottles (even those purchased past security) were confiscated while boarding the aircraft...no reason was given and it wasâ, Sep 2019,19-Sep,"Vancouver, Canada",Lima - Dallas,Economy,18,1
137,Disney Trip,Great trip all the way! Excellent service from start to finish. Prompt departure and arrived in Orlando 20 minutes ahead of schedule!, Sep 2019,19-Sep,"Hellertown, Pennsylvania",Allentown - Orlando,First Class,35,5
138,No to Miami,The prices are low sometimes but so is their service. Once my brand new perfume mysteriously vanished from my suitcase and the other time it was my brother's headphones. The service in Miami is horrible. Our flight took off then returned due to a failure. After sitting for moreâ, Sep 2019,NA,United States,Miami - Aruba,Economy,181,3
139,The worst experience,"My first review in Trip advisor because I usually use yelp, but all the social media have to know about it.... Super bad experience with AA... you changed my flight and I was the last one to entry the airplane, and because supposedly was full I had to check the carry on ( theâ", Sep 2019,19-Sep,"Miami, Florida",Miami - Mexico City,Economy,2,1
140,Punta Cana Group Trip,Prompt departure for a almost full flight. We were even able to land at Miami International 15minutes ahead of schedule...well done American. I was able to check my luggage straight through to Punta Cana...and get it there., Sep 2019,19-Sep,"Chaguanas, Trinidad",Port of Spain - Miami,Economy,35,4
141,Be careful where you sit,All seemed fine. I selected a seat in the upper section. only 2 seats in this row. It was at the split into the rear seating. After we took off I was relaxing with headphones on and all of a sudden I got a whiff of nastiness. I then realized that my row was slightly off set andâ, Sep 2019,19-Sep,,Chicago - Dallas,Economy,54,3
142,"Two flight out of hours,really bad service","The two round-trip flights out of schedule, the lousy service,don't throw your money or stay waiting a long time", Sep 2019,19-Sep,,Miami - Las Vegas,Premium Economy,1,1
143,Worst Airline ever.,"My 1st flight was almost cancelled, but my 2nd flight was canceled. I have stress from this. Never again.", Sep 2019,19-Sep,,Bakersfield - Kansas City,Economy,1,1
144,Alaska Airlines makes it easy,Alaska Air really does make it easy to fly. I purchased two of the cheapest tickets I could find online and Alaska was it. They emailed me the itinerary prior to our flights and we were already checked in via email. Their credit card with my mileage number attached allowed bothâ, Sep 2019,NA,"Irrigon, Oregon",Portland - Los Angeles,Economy,327,4
145,Southern China Airlines companion company,"I was seated in the back of the ""bus"" on a tour of India. I flew 15 hours from LA to China then another 5 1/2 hours from China to India. Both flights were smooth with great landings and the return flights were also very smooth. The food was not so great so take snacks in caseâ", Sep 2019,NA,"Irrigon, Oregon",Los Angeles - New Delhi,Economy,327,4
146,Donâ€™t use this airline!!,"We bought my son a ticket to fly from Bristol, Tennessee to Wichita, Kansas. There was a layover in Dallas. As we were leaving to pick him up in Wichita flight was supposed to arrive at 2:00 pm) we got a text that the flight had been cancelled but he had been booked on to aâ", Sep 2019,19-Sep,,Blountville - Wichita,Premium Economy,2,1
147,Nice flight thru Miami,Excellent route with minimal wasted time.  Nice to go thru Miami to get you in the beach mode...all flights on time and smooth., Sep 2019,19-Jun,,Miami - CuraÃ§ao,Economy,2,5
148,Communication on website and between check-in counter and gate need to improve,"I am mobility impaired and use my own electric scooter.  When I booked online it asked if I had any mobility issues, so I checked yes, then it asked what type, and I checked I had my own scooter.  This did not relay to the airport, so at each stop I had someone waiting for meâ", Sep 2019,19-Sep,"Norfolk, Virginia",Norfolk - Albuquerque,Economy,7,3
149,Return flight nightmare,Our trip to San Francisco with a plane change in Dallas/Fort Worth went without a hitch. Everything was perfect and on time. However our return flight home 7days later was a nightmare. The day before we were to leave we began receiving emails from the airline informing us thatâ, Sep 2019,19-Sep,,Mobile - San Francisco,Economy,2,3
150,The red eye you didn't want to fly...,"We were flying home from Kona, HI to a small town in Texas -- which means it's going to take some time and several connections. First leg KOA-LAX was pretty uneventful, I got two hours of work done, and watched a good movie the rest of the way.   We had a scheduled 3 hour 27â", Sep 2019,19-Sep,"Phnom Penh, Cambodia",Los Angeles - Dallas,Economy,3,3
151,"Awful, but consistent, experience.","Over four flights on four different planes I didn't encounter a SINGLE working power outlet or USB, even though every plane had them. They just... Didnt work. At all. The tickets are more expensive than anywhere else and the seats are terribly cramped. Blaring take nearly anâ", Sep 2019,19-Sep,,Orlando - Nashville,Economy,1,1
152,Much improved cabin experience,"I had not flown American for years but was so impressed by the inflight service, legroom, and especially USB ports for charging right in front of you by tray tables. So easy to use. I am switching my allegiance back to American.", Sep 2019,19-Sep,,Chicago - Washington DC,Economy,5,5
153,All flights were on time,No complaints.  We flew via Chicago and our flights were on time. It's nice to have wifi available for watching movies.  The movie selection was current and robust., Sep 2019,19-Aug,,Toronto - San Francisco,Economy,169,5
154,Very nice and relaxed,"Originally when I boarded someone had taken my seat, but the flight attendant told me to go to the back row which wasnâ€™t bad. Because I got the whole row to myself which I stretched out and got to completely enjoy it without anyone next to me. I loved how they had onboard WiFiâ", Sep 2019,19-Jan,"Columbus, Ohio",Phoenix - Columbus,Economy,217,5
155,Worst experience ever on an airline!,We arrived at the gate 20 minutes prior to takeoff after running from our connecting flight only to find that the door at the gate had already been closed!  The reader board stated that the door would close 10 minutes prior to takeoff.  we tried and failed to get someone to openâ, Sep 2019,19-Aug,,Raleigh - Phoenix,Economy,1,1
156,Vacatiobn,Flight was ontime down there and back. Just wish we had more options to pick from on the return flight., Sep 2019,19-Sep,"Pueblo, Colorado",Baltimore - Miami,Economy,27,4
157,No Wi-Fi internet for a seven hour flight.,"I was offered a $100.00 voucher for a $1,000 ticket on a future flight with American which I wonâ€™t ever be flying with again. Very disappointed.", Sep 2019,19-Sep,,Shannon - Philadelphia,Economy,2,3
158,Disorganized as a room full of goats,Every single connection delayed due to mechanical issues. Does this company even employ a mechanic? Shuttle service in Dallas said they have van fulls of people every night due to delayed flights for mechanical issues. Magic eight call could schedule and run a company better., Sep 2019,19-Sep,,Cedar Rapids - Las Vegas,Economy,1,1
159,Smooth Going,"No problems, no complaints, plenty of leg room (I am 5'9'').  We were held up coming home due to weather but I can never fault the airline for that.  Flight Attendents were very professional and smiled the whole time.", Sep 2019,19-Sep,"Rock Hill, South Carolina",Charlotte - Tucson,Premium Economy,30,5
160,Great Flight Crew,"This Flight Crew was great.  They were friendly, professional and very efficient in serving refreshments to a packed flight in such a short time.", Sep 2019,19-Sep,"Cordova, Tennessee",Memphis - Charlotte,Economy,215,4
161,The service is not what it used to be,"We have been AA customers for over 10 years and we can tell that the quality of service has decreased a lot over time, mostly after the fusion with US Airways. The tickets price in all classes has increased paralleling the worsening of the customer service experience. From theâ", Sep 2019,19-Sep,,Indianapolis - Philadelphia,Business Class,198,2
162,Donâ€™t waste your money on upgrade to First class!!,"I paid $580 to upgrade my economy ticket to First class. What a disappointment! I usually fly First class on Hawaiian which offers you pre boarding cocktail or bubbly, a comfortable seat with foot rest, an iPad for entertainment and privacy from economy passengers who try to useâ", Sep 2019,19-Aug,"Maui, Hawaii",Charlotte - San Francisco,First Class,25,1
163,Thunderstorm over Charlotte,The flight from Jacksonville FL to Charlotte NC was fine.  Left on time.  We got to within 70 miles of Charlotte and the pilot announced that we would be in a holding pattern until visibility improved and we could land in Charlotte.  He also said that they were not letting anyâ, Sep 2019,19-Aug,,Jacksonville - Charlotte,Economy,4,4
164,Con. They leave 10 mins early on booked flights.,I was at the gate c that they are in construction with.  Intercoms barely work.  I was in the seats adjacent to my gate within eyesight.  Somehow my flight left 10 minutes early.  Which I didnâ€™t even think was possible. So I have to wait 3 hrs until the next flight with my dogâ, Sep 2019,19-Sep,,Charlotte - Norfolk,Economy,7,1
165,Beautiful plane,Beautiful plane. Loved the entertainment system and the way they took the lights down ever so slightly and then brought them up to morning before we arrived.  No lines at the restrooms.  I didn't like the food., Sep 2019,19-Sep,"Saint Louis, Missouri",Chicago - London,Economy,7,4
166,Perfectly fine,"American Airlines flights are certainly nothing fancy, but especially for short hops I have no complaints. The flight crew were pleasant, and we arrived slightly early.", Sep 2019,19-Sep,,Rochester - Boston,Economy,1,3
167,AA does not care about customer service,We are accustomed to mechanical delays on a majority of our AA flights but have never experienced a delay due to heat.  The temperature was 100 in Denver and the weight of a full plane of passengers would not allow for enough fuel to travel safely.  They initially tried to getâ, Sep 2019,19-Sep,"Morgantown, Pennsylvania",Denver - Philadelphia,Economy,243,2
168,Good flight/ early arrival,"The flight was uneventful and arrived about 20 minutes earlier than expected. Ditto for return flight back to L.A., when we landed about 30 minutes early. Decent selection of movies and nice flight attendants. About all you can hope for these days.", Sep 2019,19-Sep,"Orange County, California",Los Angeles - Nashville,Economy,5,4
169,American airlines <<<<,"American airlines is absolute rubbish. Flight was meant to be at 1130 and they delayed it for 1 hour. 15 minutes before boarding was supposed to happen, the plane was still nowhere to be found. Afterwards, they got a plane and then the flight got delayed another 2 hours becauseâ", Sep 2019,19-Sep,,Chicago - London,Economy,1,1
170,A Truly Disheartening and Embarrassing Experience Flying with American Airlines,"I have never written a review like this before, but after the fiasco my fiancÃ© and I experienced flying with American Airlines, I felt compelled to share our experience.  My fiancÃ© Marissa Robinson and I were scheduled to fly on American Airlines flight AA 2776 on Friday Augustâ", Sep 2019,19-Aug,,Los Angeles - Chicago,Economy,1,1
171,Crappy service,When we where at the gate they closed the door and didnâ€™t let us in and they where rude. Never fly America airlines for these reasons, Sep 2019,19-Sep,,Madison - Venice,Economy,1,1
172,I Look Forward to Flying American Again Very Soon,"The outgoing flight to Chicago as well as the return to Charlotte were smooth and professionally managed by the team at American Airlines. The pilot took the time to speak to the passengers and give us interesting details about the progress of our flight, which states we wouldâ", Sep 2019,19-Sep,"Charlotte, North Carolina",Charlotte - Chicago,Premium Economy,5,5
173,Ridiculous service,"I had a terrible trip arriving to my family reunion. See previous review. We took off on time (0520) to fly to PHL. After takeoff, we were notified there was something wrong with the plane. We flew over the Bangor airport for an hour to â€œdump fuelâ€ so we can land again inâ", Sep 2019,19-Sep,"Cincinnati, Ohio",Bangor - Cincinnati,Economy,201,1
174,Incredibly bad,"3 flights, 2 delays and 1 cancellation. This airline is incredibly aweful. They do not communicate effectively with passengers and the mechanics Issues with their aircraft were the cause of our 1 am cancellation that literally ruined our 15 year wedding anniversary trip. Theyâ", Sep 2019,19-Sep,Morgantown wv,Philadelphia - Barcelona,Economy,37,1
175,Business trip,"On way to conference in Chicago and chose AA as it was convenient and most of time no issue.  Arrived at airport with plenty of time and agent at ticket counter was very nice.  Checked bag to make life easier for myself.  After boarding, was offered the normal drink but noâ", Sep 2019,NA,"Cheshire, Connecticut",Hartford - Chicago,First Class,175,4
176,Good flight,This leg of the trip was great. The larger aircraft an A321 has bolt in entertainment system. I was able to watch an entire new release on the short flight over. It also had plenty of connections to charge your device in your seat. The only complaint would be they offer cokeâ, Sep 2019,NA,"McDonough, Georgia",Miami - Cancun,Economy,"2,476",4
177,Very poor customer service,"This was small regional jet. We had problems with the flight attendant working the back of the aircraft. She was trying to board all persons in an attempt to leave on time, but a non English speaking person was boarded and could understand the English direct and instead ofâ", Sep 2019,NA,"McDonough, Georgia",Atlanta - Miami,Economy,"2,476",1
178,Nice flight,"Our flight to Portland started out a little strange. A lady seated in front of us couldn't fit in her seat. So, she was trying to solicit people nearby to swap seats. Other than that. The flight was smooth. I do enjoy the seats with extra legroom. The crew was courteous and veryâ", Sep 2019,NA,,Dallas - Portland,Premium Economy,93,5
179,Treat people with disabilities terrible,I don't normally fly any flight but United.  This time my daughter booked the flights. As soon as I knew the flight #s I called to get handicap seating.  This was back in early March.  The flights were for September.  They moved my seats to row 13. I asked why not bulk head &â, Sep 2019,19-Sep,,Charlotte - Colorado Springs,Economy,1,1
180,Poor seats,Poor seats and food. Staff were not friendly when disembarking... Would be my last choice of airline for transatlantic , Sep 2019,19-Aug,"Ascot, United Kingdom",London - Raleigh,Economy,624,2
181,Good flight except for the return,"Flight down to cozumel was good, no issues.  Return flight for Cozumel to Dallas was good until we got to the baggage carousel.  Took over 35 minutes for the bags to appear.  Many people missed their connections.  There was no explanation, just oh well.  Fortunately, for us, weâ", Sep 2019,19-Sep,"Port Deposit, Maryland, United States",Fort Smith - Cozumel,Economy,60,5
182,Delays!,"We leave Milan in late, about an hour and half and when we arrive in New York we have to wait about an hour to leave the plane....I think I wonâ€™t fly anymore with this company, if I will have other choices at the same price. the price was cheap, but now I understand why ....", Sep 2019,19-Sep,"Florence, Italy",Milan - New York City,Business Class,4,3
183,Spokane Puppy Flight,We flew to and from Spokane over a 3-day period prior to Labor Day and were very pleased with the service received., Sep 2019,19-Aug,"Oro Valley, Arizona",Phoenix - Spokane,First Class,35,5
184,Perfect flight,The smoothest flight ever: left on time and arrived 1.5 hours early. Food and wine in the premium economy were very decent and being able to check in 2 bags for free was a nice extra, Sep 2019,19-Sep,Baltimore,Paris - Philadelphia,Premium Economy,19,5
185,Good on time flight,Great flight and service..had to fly a little north than usual because of hurricane. On time arrival...Captains last flight (retiring). Fire trucks saluted with water at CLT, Sep 2019,19-Sep,"Anderson, South Carolina",Dublin - Charlotte,Economy,107,5
186,Great Flights,We flew from Jacksonville to Aruba and AMERICAN was awesome. Great flights and even better service on the planes, Sep 2019,19-Sep,"Jacksonville Beach, Florida",Jacksonville - Aruba,Premium Economy,328,5
187,Rude Steward,"I requested for a blanket because itâ€™s alway freezing inside the plane. The stewed asked me what my seat number was. I thought he was going to bring g me the blanket. When I said 35 b, his reply was youâ€™re in coach you cannot have a blanket. The price of a blanket is cheap. Justâ", Sep 2019,19-Sep,Hyde Park,Birmingham - Phoenix,Economy,6,3
188,Great Flight,American has been always been one of my favorites. American check in is kinda of slow at STL. Boarding was super smooth . In flight entertainment. was great. However you need to bring your own earbuds. As for food and beverage I received a pack of cookies and a soda. Baggageâ, Sep 2019,19-Jun,,Saint Louis - Los Angeles,Economy,4,4
189,"Differential treatment for women, cancelled flights, no response from AA CEO","Our flight was delayed and we missed our connection. As a result, we lost first class tickets and went coach the next day. We had to rebook through Frontier for over $900, plus we had hotel etc costs. AA refused to give us another flight, hotel etc. We were two women travellingâ", Sep 2019,19-May,,Athens - San Diego,First Class,1,1
190,Wonâ€™t Fly Again,I was very disappointed with this flight. We were in rows 26 and 27 next to the isle of the middle three seats. My husbandâ€™s seat was very uncomfortable because the isle was crooked right there. The flight attendants asked two people to move from the row behind us in order toâ, Sep 2019,19-Sep,,Dublin - Denver,Economy,13,3
191,Reliably good,"We frequently fly American Airlines and find the service to be good. Sometimes I opt to purchase the extra-legroom seats, which on this flight meant a bulkhead seat, which had tons of legroom.", Sep 2019,19-Sep,"Melbourne, Florida",Orlando - Washington DC,Economy,118,5
192,Excellent flight!,"This was an excellent flight, approximately 7.5 hours.  We did purchase the extra legroom seats in economy, well worth it for a long flight.  The service, foo and beverage were very good.", Sep 2019,19-Sep,"Mount Vernon, Maine",Philadelphia - Prague,Premium Economy,374,5
193,Very good flight!,"Flight on schedule, easy boarding, the attendants were good. The service was also good.  Would fly AA again.", Sep 2019,19-Sep,"Mount Vernon, Maine",Portland - Philadelphia,Economy,374,4
194,Worst Airline on the Earth,"On Friday, October 30th, we flew from New Orleans to Dallas and arrived at around noon.  We enjoyed lunch at the Dallas airport during our 3 hour layover before our flight to Vancouver.  A thunderstorm came and went and blue skies were overhead as we waited to board our flightâ", Sep 2019,19-Sep,"Gulfport, Mississippi",Dallas - Vancouver,Economy,8,1
195,"JFK Flagship First Lounge, good flight but some flaws","I had an early afternoon flight from JFK to PHX on American Airlines.  I arrived early and used the Flagship First check in, which was very efficient and provided excellent friendly service.  As I did not have TSA pre-check, an AA staff member escorted me through security so Iâ", Sep 2019,19-Sep,Vancouver,New York City - Phoenix,First Class,975,4
196,really,It is very sad when your flight is to leave at 6am they put you on a plane with mechanical issues deplane you then you sit at the airport until 2:20pm you have missed your connecting flight in Phoenix and have to sit around finally get to San Diego and then your hotel at 10:30pmâ, Sep 2019,19-Sep,,Reno - San Diego,Economy,3,1
197,"Phoenix Admiral Club, good flight but dinner was still cold","I flew from Phoenix to JFK in domestic first on American Airlines AA1388.    As I flew into Phoenix to connect to this flight, I had some connection wait time and used the Admiral Club near gate B7.  This lounge has been renovated and was well furnished.  It was not very busyâ", Sep 2019,19-Sep,Vancouver,Phoenix - New York City,First Class,975,4
198,Excellent cabin steward makes for excellent flight,"I flew from Phoenix to Vancouver on AA2664.  The incoming flight was over an hour late and arrived only minutes before the scheduled boarding time for my flight so I thought we would be delayed for sure.  However, the gate agents and cabin crew did a great job with a quickâ", Sep 2019,19-Sep,Vancouver,Phoenix - Vancouver,Business Class,975,5
199,Good flight,Flight was an improvement over previous AA flights. Entertainment options provided on board passed the time., Sep 2019,19-Sep,"Essex, Massachusetts",Boston - Flagstaff,Economy,19,3
200,Comfortable and Accomodating,"Service was good.  Food was tasty.Premier economy seats are excellent.. Extraroom, reclining seatsand better food.", Sep 2019,19-Jun,New York,New York City - Madrid,Premium Economy,29,5
201,Excellent flight!,"This was a long flight but the flight attendants help to make it so enjoyable!  They had it rockinâ€™ And rollinâ€™ From takeoff to landing. We are usually Delta flyers, but after this flight I will be looking at American a lot more closely!  Thank you!", Sep 2019,19-Sep,"Byron, Georgia",Reykjavik - Dallas,Premium Economy,128,5
202,Choose another airline if possible.,The service is horrible and cabin comfort is definitely last rate. I guess they decided that being a cheaper option justified horrible service. Both airport staff and flight attendants were less than congenial. Perhaps they are not happy to be working there either., Sep 2019,19-Sep,"Charlotte, North Carolina",Charlotte - San Francisco,Economy,2,1
203,Fun trip,"It was first time flying on American airlines with me,my parents.The flight attendants,captain  was nice,we arrived on time with no delays", Sep 2019,19-Sep,"Fresno, California",San Francisco - Maui,Economy,126,4
204,American Airlines To The Rescue,"My brother was very sick with not many days left on earth. I wanted to see him before he passed away. American got me an unplanned flight in less than 45 minutes. I needed to go from Fargo, N.D. to McAllen, Texas (one stopover in Dallas). I couldn't believe it. I had 5 min. toâ", Sep 2019,19-Sep,,Fargo - McAllen,First Class,53,5
205,Excellent Flight,"We flew American from MLU to DFW, then to PHX.  Both legs of the flight went smoothly.  Excellent service on both from flight attendants.", Sep 2019,19-Sep,,Monroe - Phoenix,Premium Economy,5,5
206,Great flights,I was seriously worried about flying to Florida with Humberto looming out at sea.  I was contacted by American giving me the option of changing my flight with all fees waived.  I was impressed because if it's weather they don't have to offer any compensation.  I choose to takeâ, Sep 2019,19-Sep,,Phoenix - Tampa,First Class,56,4
207,Worst flying experience Iâ€™ve ever had ,"I will not be flying with American again. I cancelled my credit card with them and will be transferring my points.  Received a cancellation for my flight at 11pm the day before my 7am flight. Thankfully I was awake and able to switch flights. However, my mom, who was travelingâ", Sep 2019,19-Jul,"Albuquerque, New Mexico",Albuquerque - Newark,Economy,104,1
208,No pilot assigned to our plane,I cannot believe that the company can make such a stupid mistake. Looks like their employees need to learn how to do scheduling., Sep 2019,19-Sep,,San Diego - Chicago,Economy,1,3
209,Another seamless trip,We fly American exclusively. No problems with check-in or flight. Friendly crew. Arrived on time. We fly into Monterey since itâ€™s a small airport and very convenient to our Hotel., Sep 2019,19-Sep,"Mesa, Arizona",Phoenix - Monterey,Premium Economy,11,5
210,"For a short flight, fairly good",Good. Despite the plane (an Airbus 319) the overall experience for a relatively short flight was OK., Sep 2019,19-Aug,"Mexico City, Mexico",Mexico City - Miami,Economy,74,4
211,Cattle Call Airline,"As a frequent flyer who flies between 12 and 15 trips a year, American Airlines seems to be an okay selection if you just need a backpack. Too many times I am a witness to the gate keepers automatically assuming that overhead bins are full without consulting the flight crew andâ", Sep 2019,19-Sep,"Southwest Gulf Coast, Florida",Hartford - Fort Myers,Economy,46,2
212,Used To Be A Dedicated American Airlines Flyer,"Letâ€™s start by saying I have been a dedicated American Airlines flyer .  Iâ€™ve been a Platinum level traveler, with an American Airlines credit card and a membership to their club. Lately their flights have been a huge disappointment. The flight from Charlotte to Las Vegas is 4â", Sep 2019,19-Aug,"Stuart, Florida",Charlotte - Las Vegas,Premium Economy,6,2
213,"Great, nothing to complain about!",I have not flown American in nearly 7 years.  A lot has happened since I flown with the airline. I enjoyed my flight. There was free wifi to watch entertainment on your own personal device.  I felt there was a good amount of legroom in economy and my seat was comfortable.  Iâ, Sep 2019,19-Sep,"San Francisco, California",Minneapolis - Philadelphia,Economy,20,4
214,Fantastic crew,The flight attendants were fully trained professionals. Made our flying enjoyable. Smooth transfers and great baggage capacity, Sep 2019,19-Jul,,Sydney - Sacramento,Economy,2,5
215,noticed when boarding never can bet group 6 or seven,"group 1-4 would be called to board ,us group five waiting finally hear group 5.  then 2 seconds later they call ""group 6 and 7 can now board"". whats up with that ?", Sep 2019,19-Aug,Texas,San Antonio - Cozumel,Economy,6,5
216,Very good business class service,"If you are trying to decide which airline offers a decent business class service from the USA to SÃ£o Paulo, Brazil, i would recommend AA. On this route you will fly in a Boeing 777 which has a nice and roomy seat area. The seat turns into a comfortable bed. The meals were tastyâ", Sep 2019,19-Aug,"Sandviken, Sweden",Dallas - Sao Paulo,Business Class,19,4
217,Great flight experience,American Airlines did a great job with keeping you posted about the trip along with a great flight.  Everyone was courteous and professional., Sep 2019,19-Sep,"Summerville, South Carolina",Charleston - Quebec City,Economy,42,5
218,My rating: AA,"Flight was on time and was quite uneventful and basically that's all anyone can ask for. ""On time and Uneventful Service"". OTUS!", Sep 2019,19-Sep,"Struthers, Ohio, United States",Pittsburgh - Columbia,Economy,366,5
219,good and wonderful service,"good and wonderful service and clean and on time , hope the return flight goes as smooth as the first", Sep 2019,19-Sep,"Hurst, United States",Dallas - El Paso,Economy,4,5
220,Excellent flying experience,"My flight was on time. The seating was comfortable for a plane. The temperature was mostly comfortable, maybe a little warm. The flight crew was very friendly and accommodating. It was a wonderful direct flight experience. I would not hesitate to fly with American again.", Sep 2019,19-Aug,"Beckley, West Virginia",Charlotte - San Diego,Economy,36,5
221,"Good fligh, but late for takeoff","The flights are ok, but they always have a late departure! Make sure you have plenty of time between connections!! We flew from Memphis to Buffalo to visit my mom, then of course return flights. All flights were late leaving the ground.", Sep 2019,19-Aug,,Buffalo - Memphis,First Class,2,4
222,American Fan - some frustration,"The weather due to Dorian was playing havoc with flights, even on the west coast.  We were delayed several times - our crew was supposed to come from Florida - but the airline grabbed another crew and got us on our way.  I was frustrated with the delays, but appreciatedâ", Sep 2019,19-Aug,,San Diego - Phoenix,Economy,2,4
223,Efficient boarding and pleasant flight,"New to ROA, AA did well on this trip.  New aircraft and a refreshing crew made it a smooth flight. A welcomed addition to our local airport.", Sep 2019,19-Jun,"Lexington, Virginia",Roanoke - Atlanta,Economy,108,5
224,Emergency on board.,Pretty much a typical flight. Until the man in front of me had serious health issues. The flight attendants were quickly on the scene and tended to the ill man. What impressed me was that the flight attendant was full prepared to handle the situation and tentatively addressedâ, Sep 2019,19-Aug,"Kingman, Arizona",Las Vegas - Dallas,Premium Economy,4,5
225,smooth flight and great hours.,enjoyed the flight very much. was a smooth flight leaving the caribbean into charlotte and then on to montreal and arrived at 10Pm which was reasonable.  no crying babies and great entertainment on board., Sep 2019,19-Jun,"Palm - Eagle Beach, Aruba",Aruba - Montreal,Economy,15,4
226,"Sad, surly service and uncomfortable flight","Paid extra for Premium Economy seating in an emergency row.  It was neither economical, nor premium.  The seat reclined less than two inches, the head rest did not rise, the windows would not stay down (except with paper shoved in it).  The staff was surly and service poor.  Notâ", Sep 2019,19-Aug,"Anchorage, Alaska",Dallas - Anchorage,Premium Economy,18,2
227,"On a 7 hour flight, the entertainment system did not work.","I thought I was booking with British Airways, but it turned out to be American. It was not as pleasant going as it was coming back.", Sep 2019,19-Aug,,Philadelphia - London,Economy,3,4
228,Pleased with service and price,"Purchased basic economy tickets so the price was very reasonable.  Boarded with the last group, but both ways we got to check our wheelies complimentary all the way through because the planes were crowded.  Flights were smooth and on time.  Service was fine.", Sep 2019,19-Aug,"Louisville, Kentucky",Louisville - Boston,Economy,414,4
229,"No leg room, even for me (and I'm a rather short person)!","It was an overnight flight and was smooth. Unfortunately, seats are so close that there is no leg room at all. It is difficult to get in and out of seats and even to pick up an item off the floor.", Sep 2019,19-Aug,"Glen Ellyn, Illinois",Chicago - Barcelona,Economy,19,3
230,"No leg room, even for me (and I'm a rather short person)!","It was an overnight flight and was smooth. Unfortunately, seats are so close that there is no leg room at all. It is difficult to get in and out of seats and even to pick up an item off the floor.", Sep 2019,19-Aug,"Glen Ellyn, Illinois",Chicago - Barcelona,Economy,19,3
231,Left on time and arrived at destination early,Great plane & great service. We departed on time and arrived at our destination early. We had decent food and room to walk and stand., Sep 2019,19-Sep,,Dublin - Dallas,Economy,6,5
232,American Airlines - ORD to SDF,"This was one of the flight that you wish you did not take.  The plane was very small RJ- 130, small over head my computer bag did not fit at first after taken of some think that I would find out later that I lost on the plan ( Black bag with Car& house Keys) The sets are notâ", Sep 2019,19-Sep,"Brunswick, Ohio",Chicago - Louisville,Economy,337,3
233,American Airlines - Cle to SDF,"The plan was good size when you get first class.  I was upgraded to First Class. No food just drinks and snakes.  It was a very early Flight, 5:45 AM", Sep 2019,19-Sep,"Brunswick, Ohio",Cleveland - Chicago,First Class,337,4
234,LAX to Maui (OGG),"AA flights to Hawaii are timely , and very comfortable. The attendants and crew really do accommodate any request that they are able to meet.", Sep 2019,19-Aug,"Centennial, Colorado",Los Angeles - Maui,Economy,57,5
235,August Trip,"We went to the airport early in Sacramento, only to find out  it wasn't very busy and we sailed right through TSA and had lots of extra time before boarding. Seats were good and trip went smooth. It was a short flight and service was very good, will fly again soon on American.", Sep 2019,19-Aug,"Red Bluff, California",Sacramento - Flagstaff,Economy,140,5
236,Frustrating International Flight with American Airlines,"First, the food was horrible! The first food served was some sort of beef pie that tasted very salty. Second food served was beef slider or sweet potato, feta and relished beets slider. By the time I was served the food, they ran out of beef slider so I was stuck with theâ", Sep 2019,19-Sep,"Anaheim, California",Madrid - Los Angeles,Economy,2,1
237,Next time take Korean Air,"Luckily because American Airlines cancelled our return flight from Seoul, South Korea, due to pending Typhoon, we got the chance to experience flying with another airline.  (korean Air, best customer service while flying, language barrier included).  On our second leg of theâ", Sep 2019,19-Sep,"Upper Darby, Pennsylvania",Philadelphia - Seoul,Economy,187,3
238,"On-time, clean, professional","Denver - Charlotte and Charlotte - Bradenton. Both planes clean, attendants polite and efficient. Literature in seat pocket a bit used -- could have been refreshed.", Sep 2019,19-Aug,"Bradenton, Florida",Denver - Sarasota,Economy,30,5
239,First class trip.,"It's criminal to serve such horrible food anywhere, especially to 1st class passengers paying triple economy fare. Don't even let you use their 1st class lounge.", Sep 2019,19-May,"Lake Forest, California",Orange - Charlotte,First Class,2,2
240,Summer storm season - is it any different from winter storm delays,After arriving late into Dallas on a commuter flight we were informed that our flight to Seattle was delayed by 3 hours.  Having some time we decided to explore the terminal.  Away from the gate we still heard and was informed that our flight had moved to a different gate andâ, Sep 2019,19-Aug,"Bryan, Texas",Dallas - Seattle,Economy,49,5
241,Joke from start to finish,"We booked our flights in n over 2018. They must have been changed at least 10 times over the last 10 months, emails always going to my junk mail, which I don't see why I would need to check that. Anyway in the end there was 3 flights booked to get to New York, flying furtherâ", Sep 2019,NA,"Awsworth, United Kingdom",Manchester - New York City,Economy,21,1
242,Nice flight,"The flight was nice and comfortable. The flight assistants were very kind. Ice creams were served twice to all the kids in the plane. In addition, after we lost a connection in Philadelphia, AA offered us a good hotel close to the airport and a flight on the following day (withâ", Sep 2019,19-Aug,Avellino,Rome - New York City,Economy,14,5
243,Good flight comparable or better than BA,Good service from staff  Food and wine much as expected for transatlantic  Departure and arrival on time, Sep 2019,19-Sep,"Bristol, United Kingdom",London - Chicago,Economy,214,4
244,"As always, AA is just average. Not so bad, not so good.",The food has lots of spice and the options are always vegetarian or not. We need a 3rd option for good food., Sep 2019,19-Jul,"Dallas, Texas",Dallas - Paris,Premium Economy,49,3
