,titles,reviews,date_of_review,date_of_travel,locations,destinations,class,number_of_reviews,ratings
129,It was to be a direct flight and it wasn‚Äôt,"We flew from Phnom Penh, Cambodia to Beijing, China on what was supposed to be a direct flight. We stopped in Guangzhou, went through customs and had to obviously board again. Even after all that, we still had to board a bus to get to the airplane. I really can‚Äôt stand China‚", Feb 2019,19-Feb,"Beijing, China",Phnom Penh - Beijing,Economy,"32,664",2
130,A lot to improve,Flied back from Amsterdam to Beijing with a code-share with KLM. Cabin crew service just ok but seldem saw friendly smile on the attendents face...as if they were reluctant to to their job...Food was as bad as domestic flight offered...very limited choice of beverages and the‚, Feb 2019,19-Jan,"Beijing, China",Amsterdam - Beijing,Economy,112,3
131,Regrettable experience.,What a horrible experience. We have travelled with our infant on several flights already and it's been but a 5 minute call to arrange a lap child ticket and bassinet with other airlines. With China southern I've spent over 3 hours calling China to figure this out. First the‚, Feb 2019,19-Feb,,San Francisco - Xiamen,Economy,34,1
132,Comfortable Premium Economy Seats. Small Aircraft.,We flew China Southern from Guangzhou to Seoul To Guangzhou. The check in process was fairly smooth in both airports as we had Premium Economy tickets. The flight was rather full and the Premium Economy section was as well.  The seat layout was 3x3 as the airplane was small for‚, Feb 2019,19-Feb,"Guangzhou, China",Guangzhou - Seoul,Economy,"3,886",4
133,International flight with no in-flight entertainment!,"To help pass the hours spent on a plane, watching a movie isn‚Äôt bad. This airplane offered no in-flight entertainment and it was an International flight! I find that difficult to believe in this day and age. The food was lousy but at least the seats were not as tiny as their‚", Feb 2019,19-Feb,"Beijing, China",Guangzhou - Phnom Penh,Economy,"32,664",2
134,Horrible experience,"Travelled back to Toronto with horrible service.. having connecting flight, checkin agent printed wrong boarding pass for my baby.. then we got stuck on Custom!!! We missed our flight!! Then they hv to reschedule us on the second day flight, they promised us to hv our family‚", Feb 2019,18-Oct,"Toronto, Canada",Guangzhou - Toronto,Economy,2,1
135,Small seats and no in flight entertainment,"I am a big man but can usually seat comfortably on a plane. Take a look at the pics and my knees are nearly touching the seat in front of me. To make matters worse, there was no in-flight entertainment. The food was disgusting and there was a terrible exhaust/gas smell near the‚", Feb 2019,19-Feb,"Beijing, China",Beijing - Guangzhou,Economy,"32,664",2
136,China Southerne Brisbane to New Delhi and return,"Very clean airline, and the food was good for airline food. Only beer and wine on board for alcohol. The beer was NOT cold..so Australians not impressed. Helpful staff.", Feb 2019,19-Jan,"Brisbane, Queensland, Australia",Brisbane - New Delhi,Economy,43,4
137,Don't trust their date change policy,"Their policy says that date change is available at USD 45. The same seats at low prices were available when I check online on their website. Even though, I was informed the date change is available at USD 380 for the ticket, plus USD 45 change fee. USD 380 was higher than any‚", Feb 2019,19-Jan,,Guangzhou - Beijing,Economy,10,3
138,"Airline denied me from boarding by saying that I was not booked for the flight. Then, later on, they stated I was late","Nobody should book with this airline. My original flight was changed by them, and I had to re-schedule to another flight. Then, with the rescheduled flight, I was not able to check in online before my flight. When I'm at the airport, they said they cannot locate my ticket and‚", Feb 2019,19-Feb,,San Francisco - Ho Chi Minh City,Economy,1,1
139,The online operation is hands down the worst for any international flights in my experience.,"If you don't buy your ticket on their own website, don't even think about choosing a seat online. I bought the ticket with Air France, but the operating airline was China Southern. I have gone through all their website, their apps, and it was just pointless. I am Chinese, and I‚", Feb 2019,19-Feb,,Guangzhou - Amsterdam,Economy,1,1
140,"Pleasant flight, efficient ground and air crews but check-in is a horror","Skytrax ranks this airline as a 4-star airline. It's deserved in almost every respect except one. Online check-in is an unmitigated disaster. The site is slow, and it prompts you to select a seat with your reserved seat assignment as the default. But you can't continue because‚", Feb 2019,19-Feb,"San Diego, California",Manila - Los Angeles,Economy,11,3
141,BIG delay and 2.5-hours late arrival,"On this business trip, I flew business class on China Southern 312. Only two carriers offered non-stop service with a gate to gate scheduled time of 15-hours 40-minutes. The scheduled departure was 12:30 am and arrival at 5:10 am. Actual departure was 2:30 am, and the arrival of‚", Feb 2019,19-Jan,"Toronto, Canada",Toronto - Guangzhou,Business Class,"1,206",3
142,Dated but great service,It was of great expectations that I was going to fly with China southern airlines. The check in at Melbourne was seamless and the service afforded was great by the check in customer service representative. The luggage was on forwarded to my final destination which was great. The‚, Feb 2019,19-Feb,,Melbourne - Dalian,Business Class,74,4
143,"On time, Courteous and efficient.",This was a code share with Qantas. I must say I am becoming increasingly frustrated with the lack of routes that Qantas actually flies out of Perth. It is so Eastern states focused. I fly more with partners  But don‚Äôt get the status credits. Ridiculous.  Back to CZ.  The lounge‚, Feb 2019,19-Feb,"Fremantle, Australia",Perth - Guangzhou,Business Class,100,4
144,"Premium Economy sucks!   Bad food, bad staff","We booked Premium Economy, FYI the seats don't recline-they simply slide!   Extremely uncomfortable for a 16 hour flight.   There is some sort of metal in the middle of each seat back, so you are constantly trying to get comfortable, which is impossible with a metal bar jetting‚", Feb 2019,19-Feb,"New York City, New York",Ganzhou - New York City,Economy,102,2
145,Problems in In-flight service and Guangzhou airport is barren for stop over,It is a cheap airline and one should not expect top notch service. English was a problem few years ago but it has been addressed by having few English speaking staff on board.Trip being between two commonwealth countries one would have expected better understanding of English.‚, Feb 2019,18-Dec,"Melbourne, Australia",Melbourne - New Delhi,Economy,47,2
146,London to Australia,"This was a very enjoyable trip, the first 13 1/2 hours into Tiapia and then the next 8 hours to Sydney, every meal was nice and hot and came with a choice of drinks, the staff were very attentive and nothing was too much trouble.", Feb 2019,18-Oct,"Algaida, Spain",London - Sydney,Economy,15,5
147,Flying High,We had an excellent flight on China Southern Airlines between Sydney and Beijing.  The aircraft was new and had all the latest modern conveniences of USB charging ports and touch screens.  The meals were excellent quality and the staff extremely friendly and helpful.  Our return‚, Feb 2019,18-Sep,"Canberra, Australia",Sydney - Beijing,Economy,113,4
148,A terrible airline company,"There is one stop and the first plane was late. Due to being late, there was only 1 hour for the connection and I had to pass the immigration check. I asked the crews and the captain, if I could get off the plane as soon as the plane landed. There is no help. I have to waited‚", Feb 2019,19-Jan,,Shenzhen - Los Angeles,Economy,1,1
149,good flight,"depart from guangzhou baiyun to seattle, we transit at vancouver for 2 hour, then continue to seattle, convenient flight, auto transfer our luggage, officers at the airport were ready to give instructions that directed us to immigration then continue our trip to seattle", Jan 2019,19-Jan,"Seattle, Washington",Guangzhou - Vancouver,Economy,867,4
150,Not what it was,I've been flying with CS for some years now. When they were trying to break into the Australian market they offered something different. Now all they offer is cheap price. I remember when transiting in CAN they would meet you at the gate and escort you through the transfer‚, Jan 2019,NA,"Tasmania, Australia",Melbourne - Los Angeles,Business Class,63,3
151,Rasicme AF,"If your not chinees forget it. Rasicme AF. You pay for a seat with extra legroom, but if your not chinees. Forget it. During check you get ignored. Staff speaks no english or other language. Try to avoid this company/airport.", Jan 2019,NA,"Bangkok, Thailand",Changchun - Guangzhou,Economy,85,1
152,"NO Fault, Great Airline","Would recommend and will use CS again. I've travelled with CS some years ago and was hesitant, flying with CS again with 2 young children under 6. Wow, CS upgraded their plane and staff was very helpful and courteous. Kids had their own individual monitor to play games with,‚", Jan 2019,18-Dec,"Cairns Region, Australia",Cairns - Bangkok,Economy,4,4
153,Dont travel with China Southern Airlines,"Items taken from luggage. Good luck trying to get them back. They have told me to organise an international courier and collect them that way. No help from the airline! They just keep sending me around in circles. They do not respond to emails, we chat and good luck contacting‚", Jan 2019,19-Jan,,Bangkok - Cairns,Economy,2,1
154,Flyers Beware CS,"THINK TWICE ABOUT FLYING CS, best yet spend the extra few quid and fly Air Canada or other. My reservations were completely and utterly canceled because of a slightly late connecting flight. Reservations could not be found any more in system so they would not let me board the‚", Jan 2019,19-Jan,"Homer, Alaska",Seattle - Bangkok,Economy,23,1
155,A joke from beginning to end,"Paid for xtra leg room - didn‚Äôt get it 5 passengers - split up on all flights, would not let us move seats to be together even though we had booked all together  Bad cabin service 5 cases taken, on arrival 3 were badly damaged , one was completely destroyed No alternative to‚", Jan 2019,18-Dec,,Wellington - Guangzhou,Economy,2,1
156,I was surprised by this airline,"I was surprised by China Southern airlines.  I was part of a package tour that included this flight.  Plane was clean, the staff was attentive.  Language was not that big an issue as we had our tour guide to help us.  Food was not as bad as some US airlines.  Seats were‚", Jan 2019,18-Oct,"San Francisco, United States",Beijing - Xi&#39;an,Economy,17,3
157,Never again,"Everything is bad. I will not choose china southern never again. Staff is unpleasant, they not talk English almost nothing. Food is bad.. Online check in or choosing seats,food etc.is impossible if you buy ticket outside their website, and so on... If you have to travel with‚", Jan 2019,NA,"Novi Sad, Serbia",Melbourne - Shanghai,Economy,58,1
158,Will recommend,"With other airlines in China, you most probably will have a few hours delay. Not today. We flew on time and great service from the cabin crew.", Jan 2019,19-Jan,,Zhengzhou - Shenzhen,Economy,27,5
159,Clean and good service,"I didn't know anything about this airline before but I was really satisfied. Good service, the staff really wanted to help and did everything they could to fix any problem or discomfort. We travelled with kids and they got a travellerskit with pens and small toy. Entertainment‚", Jan 2019,18-Dec,"Gothenburg, Sweden",Amsterdam - Melbourne,Economy,2,4
160,Pathetic service.,"We had a long haul international flight from delhi-guangzhou-auckland-guangzhou-delhi. The crew does not understand english. They are simply rude. We had seats next to the lavatory, I diting meals I drew the curtain but the steward came and opened it. I insisted that I cannot‚", Jan 2019,19-Jan,,New Delhi - Auckland,Economy,60,1
161,China Southern Customer Services,Today I contacted China Southern Airlines  regarding an issue about our stopover in Guangzhou.  Within 10 minutes I received a reply from No.6049 agent of China Southern Airlines. The advice was clearly expressed and  accurate and consequently I was able to resolve my issue‚, Jan 2019,19-Jan,"Grimsby, United Kingdom",London - Guangzhou,Economy,30,5
162,From Good to Not So Good...,"I recently posted a review of the good experience we had flying China Southern from Beijing to Ho Chi Minh City. Unfortunately, our return from SGN back to PEK did not end so nicely. Because we experienced a great upgrade experience at the counter in Beijing  we thought we'd get‚", Jan 2019,19-Jan,"Atlanta, Georgia",Ho Chi Minh City - Beijing,Economy,28,3
163,Awesome Experience,"This was our first flight on China Southern. As Diamonds and Million Milers with Delta, we always look for opportunities to fly with SkyTeam partners when possible. We originally purchased economy seats for this trip and decided last minute to upgrade to a business class ticket.‚", Jan 2019,19-Jan,"Atlanta, Georgia",Beijing - Ho Chi Minh City,Business Class,28,4
164,"Overall good airline, with good baggage allowances","Overall a good airline ( we did 4 flights).We were told by one check in person, that we were allowed only 1 suitcase. Later we found out, we were allowed 2 suitcases (25kg each).Had to buy more cases !", Jan 2019,19-Jan,"Christchurch, New Zealand",Christchurch - Bangkok,Economy,94,4
165,Good,"Helpfull and friendly staff / flight attendants.  Food was good. Plane was clean.  Only 1 leg of flight had personal entertainment system.  Beer was the only alcoholic beverage, no spirits.", Jan 2019,19-Jan,,Cairns - Bangkok,Economy,3,4
166,permium economy,"after travel to france and paying premimum economy we were put into ecomomy regardless .and flying home, flight was cancelled and put into economy with qantas and no refund given . our travel agent is still trying to sort it out to no avail. will never recomend.", Jan 2019,18-Apr,,Brisbane - Paris,Economy,1,1
167,down my economic plus to ecomomic during christmas time with short notification,"bought economic plus, however just around week time, was nofitifed that there were no economic plus, and must take economic plus. took compaint about this down grade service. they can tell you different stories all the time and just did not want to do anything.  Just before‚", Jan 2019,18-Dec,,Auckland - Guangzhou,Economy,1,1
168,OK,the flight to china and the connecting to bangkok was very good! the food was excellent for plane food standards and the plane was very clean and everything was on time.  HOWEVER the way back was a mess. we had a small connection in china again before coming to nairobi. but the‚, Jan 2019,18-Dec,"Nairobi, Kenya",Nairobi - Bangkok,Economy,2,3
169,Very Good Service for a Long Flight,"The service was very good and the flight crew were very nice. The food was also very good, especially any of the noodle dishes. The seats were comfortable and the crew kept the bathrooms clean which is always appreciated on a long flight.", Jan 2019,18-Dec,"New York City, New York",New York City - Penang,Business Class,2,4
170,Great Flight,Oregon to Sri Lanka is an incredibly long flight on any airline - average flight time of 34-38 hours. Having spent that much time on China Southern I feel pretty confident in my ability to provide a fair review.   The Good: the price of tickets was several hundred dollars less‚, Jan 2019,18-Dec,"Portland, Oregon",Portland - Colombo,Economy,191,4
171,Nice flight on China Southern,"The flight from Guangzhou to New York was just over 14 hours. Before the flight I was able to spend time in the airline lounge, which was pleasant. This flight leaves at 1:30am so I was at the airport during a quiet time. Due to the overnight departure of the flight, the first‚", Jan 2019,19-Jan,"Saint Paul, Minnesota",Guangzhou - New York City,Business Class,61,4
172,Wonderfull flight,"The staffs are nice, they help me much on flight, the food is nice, but the seat is not as wide as i thought but still okay for 5 hours flight.", Jan 2019,19-Jan,"Jakarta, Indonesia",Jakarta - Guangzhou,Economy,6,4
173,"Nothing Special, Don't Recommend","My wife found super cheap tickets (‚Ç©440,000) for us to get to Europe. Here's the catch, got to do a layover in Beijing. A long layover. I'm cool with that because we get to leave the airport and explore Beijing. My expectations were really high and came out disappointed. Let's‚", Jan 2019,18-Dec,"Seoul, South Korea",Seoul - Amsterdam,Economy,189,2
174,Horrific Experience,"Bought a return economy ticket for my daughter to travel to Berlin from Melbourne - as a frequent flyer on numerous airlines her comment was that it was the worst experience of her travelling life (rude cabin and check in staff, appalling food, uncomfortable seats).  Deciding to‚", Jan 2019,18-Sep,"Pitlochry, United Kingdom",Melbourne - Berlin,Economy,14,1
175,Worse customer service,I arrive to China (in transit ) after asking or believing I could get a 72 hours visa (that‚Äôs the reason why I picked up this flight) and  Migration  deny my entry ! When I asked to customer service they were not helpful and they just said it was not the decision of migration ‚, Jan 2019,19-Jan,"Lausanne, Switzerland",Los Angeles - Colombo,Economy,24,1
176,Below average customer service,"The leg room, seating space, entertainment system, in flight is all fine. Just avoid getting to their customer service team. I think they don't want to or are not interested in listening to your side of truth. They will make you feel that they know it all and you have got on a‚", Jan 2019,19-Jan,,New Delhi - Melbourne,Economy,110,3
177,Good experience,"More or less enough space between chairs, variaty of food (in case you ve booked it previously), pleasant personnel, free water and other drinks like beer and vine. Overall good impression.", Jan 2019,19-Jan,"Moscow, Russia",Guangzhou - Moscow,Economy,48,4
178,Good quality service,"Once again, this flight was organised by my tour operator. My overall impression was the flight and its associated activities at both ends - of the flight - were smooth and efficient", Jan 2019,18-Nov,"Kent, United Kingdom",Guilin - Xi&#39;an,Economy,828,3
179,Big improvement,"Once I finally got to LAX and made it past the security controls, I headed to the Skyteam lounge a the TBIT. It's big but definitely not one of the best ones I've been to. Good enough to sit and grab a glass of wine while waiting. The boarding was fast, and I was lucky to get‚", Jan 2019,19-Jan,"Montevideo, Uruguay",Los Angeles - Guangzhou,Business Class,35,4
180,Basic but fine.,Fine if you are on a budget. No complaints but not flash. Staff great when we needed to change times at short notice., Jan 2019,18-Feb,"Norwich, United Kingdom",Auckland - London,Economy,11,4
181,A surprise quality service by Sky Team in China,"Very complete flight system entertainment on their long haul flight, spaceous economy class and a variety hot meals", Jan 2019,19-Jan,"Jakarta, Indonesia",Dubai - Jakarta,Economy,5,4
182,Quick trip to China from HKSAR,The flight was on time which is amazing.  The food provided was shocking - a bit too salty and oily.  Luggage handling is quite professional.  , Jan 2019,18-Nov,"Sydney, Australia",Hong Kong - Wuhan,Economy,43,5
183,Terrible experience with China Southern Airlines,Booked the tickets for myself and 2 kids in Sept via Justfly website to fly China Southern from SFO to Guangzhou China on 12/22/2018. Return trip 1/4/2019 with lay over in LAX (supposed to arrive 6:10pm and fly Delta 1333 8:40pm. Justfly e-mailed me after we left US about‚, Jan 2019,19-Jan,"Dublin, California",Guangzhou - San Francisco,Economy,1,1
184,China Southern Airlines,"After booking the flight, I did a check on reviews of the airline.  There were many complaints about the quality of the food served, inflight movies being in Chinese only, and the fact that the cabin crew did not speak English, and were unfriendly.  Fortunately for me, I found‚", Jan 2019,18-Nov,,New York City - Manila,First Class,2,4
185,Basic in the extreme,"A modern A380, no USB ports, very poor selection for inflight entertainment, food was OK. No snacks mid-flight, you could have water. You get what you pay for.", Jan 2019,19-Jan,"Sydney, Australia",Guangzhou - Sydney,Economy,91,2
186,Very impressed overall except for seating allocations,"Having flown on may airlines, I found this airline matched most of the standards of other western airline standards. we flew with them from Melbourne to Guangzhou then to Chengdu  Service was good, food was good, movie selection was ok, seating was good. A surprise and a‚", Jan 2019,18-Sep,"Melbourne, Australia",Melbourne - Chengdu,Economy,47,4
187,Faultless flight,"This was a first experience with this airline,so no idea quite how it would pan out. The flight left on time,always good,especially when in for a very long trip.It was a night flight so chose not to eat dinner,but try and sleep,which I did.My first meal was breakfast.The choice‚", Jan 2019,18-Nov,"Tavistock, United Kingdom",London - Christchurch,Business Class,18,4
188,Rubbish,Further to my previous review I would also add that my entertainment system was not working as the sound was like an underwater gargling contest. The solution was to replace the headphones! No it was the device that was broken not the headphones but the stewardess couldn‚Äôt get‚, Jan 2019,18-Dec,"Newbury, United Kingdom",London - Bangkok,Economy,29,1
189,1star alliance,Terrible customer service to start. Due to problem with their on line booking service I ended up with an extra seat I hadn‚Äôt wanted. 3 months later still trying to get money back. You‚Äôll need to be fluent in Chinese to even start to get things going with them Next the webb site‚, Jan 2019,18-Dec,"Newbury, United Kingdom",London - Bangkok,Economy,29,1
190,Don't fly China Southern,"Hope 3rd time Lucky.... First time 2018 1stQ, Terible... Late out of Shanghai late out of Goungzhou late into Adelaide. Return on time Adelaide Goungzhou flight cancelled after a stupid on board off board, on board off board this was 3 times. Then cancelled.. Next day disaster‚", Jan 2019,NA,"Adelaide, Australia",Adelaide - Shanghai,Economy,70,3
191,Very pleased with CZ,"From Shenzhen it's a smaller airplane (not A380) but the service was good, the food service for Chinese selection great but the Western breakfast left a lot to be desired. Luggage at 32kgs x 2 bags was great. The tickets were of incredible good value!", Jan 2019,19-Jan,"Sydney, Australia",Shenzhen - Sydney,Business Class,147,4
192,Surprisingly good,CZ flies A380 between Sydney and Guangzhou. Baggage allowance two suitcases at 32kg each = 64kg is generous. The food service was great. Tip always go for the Chinese choice and never the Western. Only let down was the lack of good coffee but it's China so I started drinking‚, Jan 2019,18-Dec,"Sydney, Australia",Sydney - Guangzhou,Business Class,147,4
193,Terrible service and food,"I cannot believe they don‚Äôt offer online check-in service for SFO airport nor any self-service, forcing you to wait in long lines to be manually checked-in. Arrived at the airport 2 hours prior to my flight and waited for so long in lines that when I finally got my boarding pass‚", Jan 2019,19-Jan,"Tulum, Mexico",San Francisco - Guangzhou,Economy,1,1
194,Would fly with China Southern again!,Had a very good experience flying with China Southern. Got served drinks every 5-10mins and 2 serves of food on our 7hr flight and 1 serve of food on our 3hr flight which was really good. The flight attendants were very nice and helpful. Would definitely fly with China Southern‚, Jan 2019,19-Jan,,Cairns - Ho Chi Minh City,Economy,24,4
195,Worst Experience of my life BEWARE!!,"Honestly the worst flying experience of my entire life. Do not let the price fool you, you get what you pay for. From the very rude counter attendants to the terrible service on flights and the airport it is not worth it. Any amount of money you will save from not booking on a‚", Jan 2019,19-Jan,"Bangkok, Thailand",Bangkok - Los Angeles,Economy,7,1
196,Not bad about average,Good plains but the good is below average. Air hostess are ok but no smiles During our transit at Guangzhou airport few staff memebers speak english and I find them rude. Flights were on time and plains were clean and good., Jan 2019,18-Dec,,Vancouver - Lahore,Economy,1,3
197,Cheap. Polite. Adequate. and Safe.,"We travelled to Beijing June 2018. The plane refuels in Nanjing & fueling was delayed. Never mind, Nanjing airport is quiet and restful! Our first look at China.  The food was Chinese and yum. The staff were helpful. The seats felt squishy - but were actually quite comfy. Will‚", Jan 2019,18-Jun,"Wollongong, Australia",Sydney - Beijing,Economy,64,3
198,Good experience.,Good airline. Comfortable seats. Cooperative staff. But major problem is they don‚Äôt serve vegetarian food. On time arrival and departure., Jan 2019,18-Dec,"New Delhi, India",Hong Kong - Yiwu,Economy,223,4
199,Excellent value for money though awful website,"I had initially booked flights from London to Melbourne in 2017 but due to changes in my job contract I had to cancel the trip- I had booked directly with the airline online. The website was a mess to navigate to figure out how to get a refund, and the phone number provided did‚", Jan 2019,18-Nov,"Bristol, United Kingdom",London - Melbourne,Economy,2,4
200,Great experience,"Business class seats for the price of premium economy elsewhere.  The flights and service were amazing, food was fine and plentiful.  Guangzhou airport is massive and frustrating hour wait to get transit visa for overnight stopover.", Jan 2019,18-Dec,,Auckland - London,Business Class,1,5
201,First time flying China Southern & was great!,"We booked through a third party and due to comments we received when we told them the airline we were a little worried, but turned out it's one of the best flights we had. Both our flights departing Heathrow and Guangzhou were night time ones so we got to sleep through quite a‚", Jan 2019,18-Dec,"Castleford, United Kingdom",London - Auckland,Economy,77,5
202,terrible,"YOU WILL NEVER GET ANY REFUND BACK! I booked a flight through China Southern but due health reason I called and cancelled the ticket. They keep making excuses and giving me a run around. Each time I call, I will be told to send an email and call back. I presently have 4‚", Jan 2019,18-Jun,,Toronto - Guangzhou,Economy,1,1
203,My first flight with China Southern or any other Chinese airline,"I'm very happy with the service.  It's service is much more closer to Singapore Airline, Qatar, Emirates. I would definitely fly with China Southern next time.", Jan 2019,18-Dec,,Los Angeles - Colombo,Economy,2,5
204,"Overall good experience, lack of information frustrating","Flew from Sydney to London via Guangzhou, which also involved an additional stopover in Sanya. We only got notified about this extra stopover a couple of months before we were due to take the flight - it wasn't made clear when we booked.   I think the worst thing about this‚", Jan 2019,19-Jan,"London, United Kingdom",Sydney - London,Economy,10,4
205,Good Flights,"My first experience with China Southern. This trip involved two flights to get from Hanoi to Kathmandu. Hanoi, Vietnam to Guangzhou, China and Guangzhou to Kathmandu. Return was the exact reverse. The flights were quite acceptable. Biggest drag was the four hour layover in‚", Jan 2019,18-Dec,,Hanoi - Kathmandu,Economy,52,4
206,Extremely RUDE ground staff at Guangzhou airport!,"I always like to start with the positives: Flight was smooth, more leg room than any of the average and even high end flights travelling economy.  Entertainment was average.  Flight attendants friendly. Flight was clean and well maintained.  Cons: GROUND STAFF at Guangzhou - The‚", Jan 2019,18-Nov,"Brisbane, Australia",Brisbane - New Delhi,Economy,12,3
207,Negative experience,"We flew from Sydney to London through Guanghzou and Sanya. Like some of the posters below, we had a poor experience. We needed a transit visa to change flight and were not made aware of it. We received some contradictory instructions and had to stay in several queues. We nearly‚", Jan 2019,19-Jan,"Cambridge, United Kingdom",Sydney - London,Economy,13,1
208,Family holiday,"It‚Äôs been a long time since i have flight with China southern airlines. Before their service is very bad both on flight.and off the flight. This time my experience is very different the check in was very smooth, the air hostesses are very helpful and perlite. The transfer of‚", Jan 2019,18-Dec,,Auckland - Bangkok,Economy,48,4
209,Great,"The flights were all on time with no problems encountered. There was a good choice of films. Blanket, eye mask, toothbrush and toothpaste etc all provided. And the food was nice, with friendly service.", Jan 2019,19-Jan,"Birmingham, United Kingdom",London - Christchurch,Economy,68,4
210,Good Value for the Money,Fairly comfortable flight on economy plus. Nice to be in a 2 seat (aisle/window) configuration in a separate compartment from economy. Perks include speeded up boarding. Seats recline a bit more but seats still hard made better by sitting on the blanket for some extra‚, Sep 2018,18-May,"Oakland, California, United States",San Francisco - Guiyang,Economy,224,4
211,Quality value,"China southern airline is a relaxed cheap but not lacking in quality.   Service is great, baggage is upto 51 kg and food is filling an tasty.  The trip seem to go smoothly without the trouble of other airlines.   Would highly recommend to all travellers ", Sep 2018,NA,"Bunbury, Australia",Perth - Guangzhou,Economy,11,5
212,Much improved on food,I paid about USD100+ for a return ticket because of the promotion offered by this airline. Food was much improved as compared to the flight I took years ago., Sep 2018,18-Sep,"Hong Kong, China",Hong Kong - Yiwu,Economy,842,4
213,Pleasant Flight,"My first time flying with China Southern.  Heard mixed feedbacks about the airline, overall not very impressive.  However, what I found is that the airplane was in very good condition; Cabin crew were professional, polite though the efficiency can be improved; Seats were‚", Sep 2018,18-Aug,"Sydney, Australia",Sydney - Hangzhou,Economy,17,4
214,Flight onChina Airlines,This is the 2nd time we have flown China Airlines and would go with them everytime.  Were able to check in on our phone and knew which seats we were allocated. Flight left on time and the service on the plane was wonderful. Plenty of staff and they couldn't do enough to make‚, Sep 2018,18-Sep,Papamoa New Zealand,Brisbane - Auckland,Economy,19,5
215,Stay well away no matter what,"What an absolute disgrace this company is to the Aviation Industry  Flight was ok but on arrival at Shanghai my Suitcase was absolutely destroyed. 2 wheels completely broken off, no What an absolute disgrace this company is to the Aviation Industry  Flight was ok but on arrival‚", Sep 2018,18-Sep,"Wolverhampton, United Kingdom",Guangzhou - Shanghai,Business Class,212,1
216,Bad experience.,"Flight was delayed, due to bad weather in Ningbo, but no a no annocement  of what was going on was going on, from the airlines,got to Guangzhou,where I missed my connection flight,the airline put us up in a hotel, which was very ordinary, with no breakfast, taken to the airport‚", Sep 2018,18-Jul,"Brisbane, Australia",Ningbo - Bangkok,Economy,3,2
217,We would fly this airline again,Beautiful service they couldn‚Äôt really speak English and the ones who sord of could didn‚Äôt understand it so it was quiet hard to ask where our bags would be and all that but other then that we enjoyed it quiet friendly clean plane..  , Sep 2018,17-Oct,,Zhangjiajie - Xi&#39;an,Economy,48,3
218,Comfortable,Flew business class via China returning from New York a few weeks back. Business class was only half full which was nice and had many hostesses to assist your every need. Girls were all nice however not good with English which was a bit surprising and difficult at times. First‚, Sep 2018,18-Sep,"Melbourne, Australia",New York City - Melbourne,Business Class,7,4
219,Budget flying comfortable,"Flew LAX- Guangzhou- Bangkok the trip was pretty long LAX-Guangzhou was a big comfortable airplane Guangzhou- Bangkok was a smaller plane stil comfortable.  The food was ok (not my favorite for me was very seasoned is more Chinese style food), the good thing is you can have‚", Sep 2018,18-Apr,"Culiacan, Mexico",Los Angeles - Bangkok,Economy,58,4
220,awesome experience,"What a great trip, we decided we would bite the bullet and fly business class on China Southern and are so glad we did.  It wasn't that much extra but everything that came with it was superb.  The lie flat beds on the plane are really comfortable and we managed to sleep most of‚", Sep 2018,18-Jun,Tauranga,Auckland - Hanoi,Business Class,110,5
221,Never on time,"During our trip to China, we flew with China Southern airline using international and domestic flight (6 flight in total) To summarize: below average service, and never on time. However, it's the biggest airline there and it's not a big problem when you miss you flight.", Sep 2018,18-Aug,"Brisbane, Australia",Brisbane - Beijing,Economy,2,2
222,"Pleasantly surprised overall, just a couple or disappointments",Overall I was pleasantly surprised with this Airline and was the first time travelling to London with the family using them.  The Airport in Guangzhou is new and still has a lots to open.  Just disappointed that on the way back we had a 7 hour change over so booked the Pullman‚, Sep 2018,18-Jun,Auckland,Auckland - London,Economy,11,4
223,Flight Review,"I would have given a higher score if they had not cancelled my second flight with them with no information as to why. no offer of an optional flight. The first flight was very good with nice food and roomy seat, a 2 hour delay but I had expected it.", Sep 2018,18-Apr,"Brisbane, Queensland, Australia",Brisbane - Bangkok,Economy,6,3
224,Worst airlines ever,"I went on my vacation last may dis yr only,and was make a mistakes of taking that airlines to flew,imagine from dubai itself the flight was delayed until it came to da connecting flight,they made us run from the entrace till we reached the plane,the staffs was not helpfull and‚", Sep 2018,18-May,,Dubai - Manila,Economy,2,1
225,Red Eye Deal,If you‚Äôre flexible about the time and days you can leave for China and the US this is s very good deal. During my 20 years of business trips to China the prices to HK have gone up significantly. Starting about 5 years ago we started taking flights directly into Guangzhou (GZ) to‚, Sep 2018,18-Aug,"New Vernon, New Jersey",New York City - Guangzhou,Business Class,61,4
226,Great service,"Comfortable with more legroom then many other airlines, customer service onboard was great with very friendly staff members. Food again was much better then others I would fly with China Southern again. Another thing I loved was the seating plan with 2 seats on both sides of‚", Sep 2018,18-Sep,"Kingscliff, Australia",Sydney - Beijing,Economy,210,4
227,Outstanding value.,Scored a cheap deal on the Aunt Betty's website....it was about 25% cheaper than anything else in business class.  A bit dubious at first but really wanted to fly business as it's such a long haul for an old girl.  I was SO PLEASANTLY suprised.  Service was great. Food OK. ‚, Sep 2018,18-Jul,Auckland,Auckland - London,Business Class,8,4
228,Mrs,"Last minute change by CSA and ended up with an additional flight, domestic.  Adding another 8 hours onto an already long flight.  Of course I had a choice to reboot my flights and apply for a refund 4 days before my departure.  Very disappointing.  Very poor notification.  Big‚", Sep 2018,NA,,Auckland - London,Economy,31,3
